"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Status"
"5528073",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528073_mac_01_-_web_size.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",15,,,,,
"5528073",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528073_mac_02_-_web_size.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",16,,,,,
"5528073",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528073_mac_03_-_web_size.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",17,,,,,
"5528073",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528073_mac_04_-_web_size.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",18,,,,,
"5528073",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528073_liv_05.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",19,,,,,
"5528073",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528073_liv_08.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",20,,,,,
"5528073",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528073_liv_10.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",21,,,,,
"5528073",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528073_liv_11.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",22,,,,,
"5528073",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528073_-_web_size.jpg?optimize=high&fit=bounds&height=&width=&canvas=:",23,,,,,
"5527833","Templar Gold Finish Beaded Coffee Table","This striking coffee table in luxe accent will be a stylish and functional addition for a contemporary living room. A series of warm metallic finish beads fuse together to form the rounded design of this coffee table. This coffee table with a flat edge is sure to make a decorative statement with the elegant, symmetrical design.","",,"","Abstract","TRUE",,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5527833.jpg?optimize=high&fit=bounds&height=700&width=700&canvas=700:700",,,,,,"active"
"5527833",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5527833_mac_04.jpg?optimize=high&fit=bounds&height=700&width=700&canvas=700:700",2,,,,,
"5527833",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5527833_01.jpg?optimize=high&fit=bounds&height=700&width=700&canvas=700:700",3,,,,,
"5527833",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5527833.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",4,,,,,
"5527833",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5527833_01.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",5,,,,,
"5527833",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5527833_mac_01.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",6,,,,,
"5527833",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5527833_mac_02.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",7,,,,,
"5527833",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5527833_mac_03.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",8,,,,,
"5527833",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5527833_mac_04.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",9,,,,,
"5527833",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5527833.jpg?optimize=high&fit=bounds&height=&width=&canvas=:",10,,,,,
"2406261","Flori 1 Drawer Draw Side Table with Hairpin Legs","This side table flaunts a traditional accent with its minimal design and shape to the living area. Equipped with convenient storage space and featuring a wood veneering effect, this small side table is well-suited for mid-century modern themes. The slanted hairpin metal legs in the warm metallic finish create an instant focal point in the room.","",,"","Abstract","TRUE",,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/2/4/2406261.jpg?optimize=high&fit=bounds&height=700&width=700&canvas=700:700",,,,,,"active"
"2406261",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/2/4/2406261_liv_03.jpg?optimize=high&fit=bounds&height=700&width=700&canvas=700:700",2,,,,,
"2406261",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/2/4/2406261_01.jpg?optimize=high&fit=bounds&height=700&width=700&canvas=700:700",3,,,,,
"2406261",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/2/4/2406261.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",4,,,,,
"2406261",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/2/4/2406261_01.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",5,,,,,
"2406261",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/2/4/2406261_02.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",6,,,,,
